hale,健壮的， 矍铄的
cardiac,心脏的
accessible,易接近的； 易受影响的
particularity,独特性
throe,剧痛；
notable,值得注意的， 显著的
unparalleled,无比的， 空前的
orotund,洪亮的 strong and deep； resonant)； 夸张的(bombastic or pompous)
plush,豪华的
disgruntled,不悦的， 不满意的
brattish,讨厌的， 被宠坏的， 无礼的 ill-mannered; annoying)
semimolten,半熔化的
resigned,顺从的， 听从的
glucose,葡萄糖
provocative,挑衅的， 煽动的
address,处理， 对付， 设法解决； 致辞
impassioned,充满激情的， 慷慨激昂的
troll,用曳绳钓； 拖钓； 兴高采烈地唱
ramble,漫步。漫步
vocation,天职， 神召； 职业， 行业； 禀性， 才能
preponderant,占优势的， 突出的， 压倒性的
stature,身高， 身材
quarantine,隔离检疫期， 隔离
simonize,给…打蜡， 把…擦亮
brevity,短暂
illegitimate,不合法的； 私生的
exorbitant,过分的， 过度的
reimburse,偿还
dither,慌张；犹豫不决。紧张； 慌乱
confront,面临； 对抗
onus,义务， 负担
thousandfold,千倍地。千倍的
provocation,挑衅， 激怒
illiterate,文盲的
bondage,奴役， 束缚
pervade,弥漫， 遍及
implement,实现， 实施。工具， 器具
justifiable,有理由的， 无可非议的
incinerate,焚化， 焚毁
sagacious,聪明的， 睿智的
beset,镶嵌； 困扰
foyer,门厅， 休息室
beacon,烽火； 灯塔
sparse,稀少的， 贫乏的； 稀疏的
pragmatic,实际的； 务实的， 注重实效的； 实用主义的
incision,切口； 切割
frigidity,寒冷； 冷淡
tasteless,没味道的
underplay,弱化…的重要性； 表演不充分
emancipate,解放， 释放
envisage,正视； 想象
elliptical,椭圆的； 晦涩的； 省略的
hunch,直觉， 预感
preponderate,超过， 胜过
pilot,飞行员； 领航员
citation,引证； 引文； 传票
snide,挖苦的， 讽刺的
concentrate,聚集， 浓缩
versatile,多才多艺的； 多用途的
avow,承认； 公开宣称
weld,焊接， 熔接； 锻接
aggrieve,使受委屈， 使痛苦
peachy,极好的， 漂亮的
peckish,饿的； 急躁的
imperturbable,冷静的， 沉着的
prognosticate,预言， 预示
refractory,倔强的， 难管理的； 难治的
irrelevant,不相关的； 不切题的
observance,遵守， 奉行
gadget,小工具， 小机械
hilarious,欢闹的； 引起大笑的
resentful,忿恨的， 怨恨的
belongings,所有物， 财产
implication,暗示
flout,蔑视； 违抗
wastrel,挥霍无度的人
cordial,热诚的。兴奋剂
modulate,调整， 调节； 调音
aghast,惊骇的， 吓呆的
inter,埋葬
distant,疏远的， 冷淡的
destine,命运注定， 预定
gaiety,欢乐， 快活
wend,行， 走， 前进
fermentation,发酵
razor,剃刀， 刮胡刀
unidimensional,一维的
huckster,叫卖小贩， 零售商
penicillin,青霉素
averse,反对的， 不愿意的
irony,反话； 讽刺意味； 出乎意料的结果
caterpillar,毛毛虫， 蝴蝶的幼虫
exactitude,正确， 精确， 严格
spout,喷出； 滔滔不绝地讲
recumbent,斜靠的； 休息的
reminder,提醒物， 纪念品
contented,心满意足的
fatuity,愚蠢， 愚昧
hydrate,水合。水合物
snipe,狙击
nautical,船员的， 船舶的， 航海的
allergic,过敏的； 对…讨厌的
underrate,低估， 轻视
unreasonable,不讲道理的； 非理智的， 过分的
constraint,强制， 强迫； 对感情的压抑
mendicant,行乞的。乞丐
infect,传染； 使感染， 侵染； 污染
pleat,褶
extravagance,奢侈， 挥霍
infiltrate,渗透， 渗入
backslide,故态复萌
hostile,敌对的， 敌意的
sanctum,圣所
irreversible,不能撤回的， 不能取消的
celestial,天体的， 天上的
crawl,爬， 爬行
plead,辩护； 恳求
abject,极可怜的； 卑下的
monologue,独白； 长篇演说， 长篇大论
ambitious,有抱负的， 雄心勃勃的
incontrovertible,无可辩驳的， 不容置疑的
contemptuous,鄙视的， 表示轻蔑的
paean,赞美歌， 颂歌
function,运行。功能； 职责
grisly,恐怖的， 可怕的
lap,舔食
pitcher,有柄水罐
revere,尊敬
pliant,易受影响的； 易弯的
comparison,比较， 对照； 比喻
pomposity,自大的行为或言论
hatch,孵化； 策划。船舱盖
revert,恢复， 回复到； 重新考虑
presupposition,预想， 臆测
roughen,变粗糙
ceremony,典礼， 仪式
gratification,满足， 喜悦
idyllic,田园诗的
abdicate,退位； 放弃
long-winded,冗长的
emanate,散发， 发出； 发源
attenuation,变瘦； 减少； 减弱
piercing,冷得刺骨的； 敏锐的
censure,指责， 谴责。指责，谴责
airtight,密闭的， 不透气的
technique,技能， 方法， 手段
levy,征税； 征兵
intimidate,恐吓； 胁迫
quirk,奇事； 怪癖
generous,慷慨的； 大量的
repressed,被抑制的， 被压抑的
detrimental,损害的， 造成伤害的
capitulate,投降
vicarious,替代的， 代理的
rampage,乱冲乱跑。狂暴行为
gander,闲逛。雄鹅；笨人，傻瓜
investor,投资者
bemused,茫然的， 困惑的
inflate,使充气， 使膨胀
remission,宽恕， 豁免
skirmish,小规模战斗， 小冲突
foment,煽动
equilibrium,平衡
sport,炫耀， 卖弄
barbarous,野蛮的； 残暴的
cluster,群集， 丛生。串，簇，群
prey,被捕食的动物； 受害者
attire,使穿衣；打扮。盛装， 服装
glisten,闪烁， 闪耀
awe-inspiring,令人敬畏的
circulate,循环； 流通； 发行
unfailing,无尽的， 无穷的
resuscitate,使复活， 使苏醒
integrity,正直， 诚实； 完整
pact,协定， 条约
appreciative,赞赏的； 感激的
quagmire,沼泽地； 困境
remittance,汇款
press,挤压
dock,剪短； 扣去
cargo,货物
panacea,万灵药
opulence,富裕； 丰富
exclaim,惊叫， 呼喊
pervious,可渗透的， 可通过的
pack,兽群
mesmerism,催眠术， 催眠引导法
minutia,细枝末节， 琐事
untapped,未开发的， 未利用的
beaded,以珠装饰的， 珠状的
untamed,未驯服的
supple,柔软的， 灵活的； 柔顺的， 顺从的
horrendous,可怕的， 令人恐惧的
bravado,故作勇敢， 虚张声势
polite,文雅的， 有教养的
ardent,热心的， 热烈的
distain,贬损， 伤害名誉
document,为…提供书面证明。文件
rapport,融洽， 和谐
cohesive,凝聚的
promote,提升； 促进
moody,喜怒无常的； 抑郁的
emaciate,使瘦弱
graphic,图表的； 生动的
clause,从句； 条款
empathy,同感， 移情； 全神贯注
fraught,充满的
dodge,闪开， 躲避
consolidate,巩固； 加强； 合并
haughty,傲慢的， 自大的
uncommunicative,不爱说话的， 拘谨的
formative,形成的； 影响发展的
vitalize,赋予生命， 使有生气
polish,磨光，擦亮。上光剂； 优雅
optical,视觉的； 光学的
menthol,薄荷醇
deterrent,威慑的， 制止的
pestilential,引起瘟疫的， 致命的； 〈口〉极讨厌的
detergent,清洁剂
rueful,抱憾的； 后悔的， 悔恨的
prig,自命清高者， 道学先生
compile,汇集； 编辑
vitality,活力， 精力； 生命力
fume,发怒，愤怒；冒烟。烟； 愤怒， 恼怒
bias,使有偏见。偏见
somatic,肉体的， 躯体的
ravenous,饥饿的； 贪婪的
pullulate,繁殖； 充满
tension,紧张， 焦虑； 张力
tenuous,纤细的； 稀薄的； 脆弱的， 无力的
doff,脱掉
opinionated,固执己见的
ballad,歌谣， 小曲
caustic,腐蚀性的；刻薄的。腐蚀剂
verbal,口头的； 言语的
merit,值得。价值； 长处
precocious,早熟的
pecuniary,金钱的
unbend,变直； 轻松行事， 放松
cronyism,任人唯亲； 对好朋友的偏袒
district,地区； 行政区； 区域
predestine,预先注定
ventriloquist,口技表演者， 腹语表演者
contort,歪曲； 扭曲
impersonal,不受个人感情影响的
inveigle,诱骗， 诱使
specter,鬼怪， 幽灵； 缠绕心头的恐惧， 凶兆
dogmatism,教条主义， 武断 being dogmatic)
inflame,使燃烧； 激怒
antiseptic,防腐的。杀菌剂
gangling,瘦长得难看的
fealty,效忠， 忠诚
wheeze,喘息； 发出呼哧呼哧的声音
suspicion,怀疑， 嫌疑
purchase,支点
dogmatist,独断家， 独断论者
flaunt,炫耀， 夸耀
neutralize,使无效； 中和， 使中性
gravity,严肃， 庄重
marsupial,有袋动物
funk,怯懦， 恐惧； 懦夫
incur,招惹
plump,丰满的。使丰满， 使变圆
tentatively,试验性地
recoil,弹回， 反冲； 退却， 退缩
dilettante,一知半解者， 业余爱好者
pall,令人发腻， 失去吸引力
interactive,交互式的
rubbery,橡胶似的， 有弹性的)
ordeal,严峻的考验
eaglet,小鹰
complacent,自满的， 得意的
plumb,精确地。垂直的。深入了解； 测量深度。测深锤，铅锤
wispy,纤细的； 脆弱的； 一缕缕的
truncate,截短， 缩短
vilify,诽谤， 中伤
premise,前提
colonize,建立殖民地， 拓殖； 定居， 居于
virtuosity,精湛技巧
mutable,可变的； 易变的
controversial,引起或可能引起争论的
unbecoming,不合身的； 不得体的
intransigent,不妥协的
imbecile,低能者， 弱智者， 极愚蠢的
reciprocation,互换； 报答； 往复运动
deputy,代表； 副手
bide,等待， 逗留
whimper,啜泣， 呜咽
judicial,法庭的， 法官的
symptomatic,有症状的
shuttle,穿梭移动， 往返运送
allocate,配给， 分配
muffle,消音； 裹住
abjure,发誓放弃
log,记录。日志，记录；一段木头
enterprise,公司， 企业； 进取心
formation,组成， 形成； 编队， 排列
accidental,偶然发生的
domineer,压制
lot,抽签； 划分。签；命运
fuse,熔化； 融合
premium,保险费； 奖金
wholesale,批发的； 大规模的
prop,支持。支撑物，支柱
tumble,突然跌倒， 突然下跌； 倒塌
pane,窗格玻璃
pang,一阵剧痛
fuss,大惊小怪
depute,派…为代表或代理
sentinel,哨兵， 岗哨
prod,戳， 刺； 刺激， 激励
initial,开始的，最初的。首字母
incisive,尖锐的， 深刻的
fury,狂怒， 狂暴； 激烈， 猛烈； 狂怒的人； 复仇女神
rudimentary,初步的； 未充分发展的
postulate,要求； 假定
contemplation,注视； 凝视； 意图； 期望
overawe,威慑
miff,小争吵
infest,大批出没于， 骚扰； 寄生于
eternal,永久的， 永恒的
redress,矫正， 修正
habituate,使习惯于
mien,风采， 态度
crumple,把…弄皱； 起皱； 破裂
plebeian,平民的； 平庸的， 粗俗的。平民
pleonastic,冗言的
subtractive,减法的； 负的
overpower,压倒
nutrient,营养品， 滋养物
recapitulate,扼要重述
unrepresentative,没有代表性的
omniscient,无所不知的， 博识的
improper,不合适的， 不适当的
husband,节省， 节约
shrivel,枯萎
cyclone,气旋， 飓风
upsurge,高涨， 高潮
denote,指示， 表示
zone,分成区。地区
renegade,叛教者， 叛徒
inappropriate,不恰当的， 不适宜的
propagate,繁殖； 传播
orthodox,正统的
unkempt,蓬乱的， 未梳理的； 不整洁的， 乱糟糟的
adept,熟练的， 擅长的
repute,认为，以为。名声， 名誉
minutes,会议记录
amiable,和蔼的， 亲切的
particularize,详述， 列举
particular,细节， 详情
fumble,摸索， 笨拙地搜寻； 弄乱， 搞糟
unseemly,不适宜的， 不得体的
correlate,使相互关联； 使相互影响
overriding,最主要的， 优先的
ample,富足的； 充足的
numinous,超自然的， 神的
cohesion,内聚力; 凝聚力
retrench,节省， 紧缩开支
unbidden,未经邀请的
certitude,确定无疑
jealousy,嫉妒
radiant,发光的； 容光焕发的
vibrancy,生机勃勃， 活泼
reproof,责备， 斥责
penetrate,刺穿； 渗入； 了解
expediency,方便； 权宜之计
pare,削； 修剪； 削减， 缩减
perpetrate,犯罪； 负责
elegy,哀歌， 挽歌
resound,回响； 鸣响
photosensitive,感光性的
preposterous,荒谬的
wigwag,摇动， 摇摆， 摆动
besot,使沉醉， 使糊涂
cumber,拖累， 妨碍
zoom,急速上升， 猛增
invalidate,使无效， 使作废
cardiologist,心脏病专家
commiserate,同情， 怜悯
unadorned,未装饰的， 朴素的
maunder,胡扯； 游荡
lithe,柔软的， 易弯曲的； 自然优雅的
iconographic,肖像的， 肖像学的； 图解的
lug,拖，费力拉。拖， 拉
intangible,触摸不到的； 无形的
coherence,条理性， 连贯性
muniments,契据
uncharitable,无慈悲心的
misshapen,畸形的， 奇形怪状的
compassion,同情， 怜悯
ambiguous,含糊的
infernal,地狱的； 可恶的
allay,减轻， 缓和
crack,裂开； 破解。爆裂声；裂缝
impulsive,冲动的， 由冲动引起的； 易冲动的
dote,溺爱； 昏聩
palliate,减轻； 掩饰
soporific,催眠的。安眠药
grotesque,怪诞的， 古怪的； 风格怪异的
adulterate,掺杂，掺假。掺杂的， 掺假的
clot,使凝结成块。凝块
profile,轮廓， 外形； 侧面
milk,榨取
bilk,躲债； 骗取
tributary,支流的； 辅助的； 进贡的。支流；进贡国
acrid,辛辣的， 刻薄的
bile,胆汁； 愤怒
clog,阻塞。障碍
dose,剂量， 剂
convivial,欢乐的， 快乐的
dilate,使膨胀， 使扩大
slavish,卑屈的； 效仿的， 无创造性的
domain,领土； 领域
smear,弄脏，玷污。污迹， 污点
willful,任性的； 故意的
cloy,生腻， 吃腻
touched,被感动的
dour,严厉的， 阴郁的， 倔强的
bloated,肿胀的； 傲慢的
mint,大量； 造币厂
adaptive,适应的
chaotic,混乱的
protozoan,原生动物
factorable,能分解成因子的
addle,使腐坏； 使昏乱
grateful,感激的， 感谢的
medieval,中世纪的， 中古的
involve,包含， 含有； 参与； 牵涉， 牵连
requisite,必要的， 必不可少的。必需物
elude,逃避； 搞不清， 理解不了
obsequious,逢迎的， 谄媚的
amnesia,健忘症
superannuate,使退休领养老金
inflexible,坚定的， 不屈不挠的
supersede,淘汰； 取代
inch,慢慢前进， 慢慢移动
teetotal,滴酒不沾的； 完全的， 全部的
dialect,方言
pulverize,使成粉末， 粉碎； 彻底击败
emergency,紧急情况， 不测事件， 非常时刻
impel,推进； 驱使
paralyze,使瘫痪； 使无效
down,绒毛； 软毛
faculty,全体教员； 能力， 技能
shifting,变动的； 运动的
incumbent,义不容辞的。在职者，现任者
wretched,可怜的， 不幸的， 悲惨的 in a very unhappy or unfortunate state)
glamor,迷惑。魔法， 魔力； 迷人的美， 魅力
phlegmatic,冷淡的， 不动感情的
fortitude,坚毅， 坚忍不拔
scruffy,肮脏的， 不洁的
whoop,高喊， 欢呼
espionage,间谍活动
cajole,哄骗
impiety,不虔诚， 无信仰
exhaust,耗尽；使筋疲力尽。废气
ostentatious,华美的； 炫耀的
comely,动人的， 美丽的
pretentious,夸耀的， 炫耀的； 自命不凡的， 狂妄的
tackle,处理。滑车
solvent,有偿债能力的。溶剂
pawn,典当，抵押。典当， 抵押； 被利用的小人物
chuck,丢弃， 抛弃， 解雇； 辞职
divisive,引起分歧的， 导致分裂的
squeeze,压，挤。压榨， 紧握
winkle,挑出， 剔出， 取出
individualism,个人主义
premeditate,预谋， 预先考虑或安排
worthy,值得的；有价值的。知名人士
awry,扭曲的， 走样的
preen,整理羽毛 to clean or smooth its feathers )； (人)打扮修饰(to dress up； primp)
egoistic,自我中心的， 自私自利的
rudder,船舵； 领导者
continuation,继续， 延续
arrogant,傲慢的， 自大的
ecstasy,狂喜； 出神， 入迷
arduous,费力的， 艰难的
interpret,解释， 说明； 演绎
inherit,继承
rescission,撤销， 废除
atrocious,残忍的， 凶恶的
behoove,理应， 有必要
frigid,寒冷的； 冷漠的， 冷淡的
hermetic,密封的； 神秘的， 深奥的
tantamount,同等的， 相当于
misgiving,疑虑
discount,折扣
charisma,领袖气质； 魅力
fluorescent,荧光的， 发亮的
relish,喜好， 享受。美味，风味；喜好，兴趣
exasperate,激怒， 使恼怒
pancreas,胰腺
feat,功绩， 壮举
incessant,不停的， 不断的
adversity,逆境， 不幸
inadvertent,疏忽的； 不经意的， 无心的
torrent,洪流， 急流
pretension,自负， 骄傲； 要求， 主张
inexpiable,不能补偿的
virtuous,有美德的
cosmopolitan,世界性的，全球的。世界主义者， 四海为家的人
mite,极小量； 小虫
skew,不直的， 歪斜的
ooze,慢慢地流， 渗出； 逐渐消失
renown,名望， 声誉
amalgamate,合并； 混合
petrify,石化； 吓呆
tussle,扭打， 争斗。扭打，争斗；争辩
centrifugal,离心的
skim,从液体表面撇去； 浏览， 略读
liquefy,液化， 溶解
emolument,报酬， 薪水
herald,宣布…的消息；预示…的来临。传令官； 信使； 先驱
recur,重现， 再发生； 复发
grudge,吝惜， 勉强给或承认； 不满， 怨恨
recombine,重组， 再结合
mar,损坏， 毁坏； 损害…的健全
juncture,关键时刻， 危急关头； 结合处， 接合点
mat,缠结； 铺席于…上。垫子，席子
assimilate,同化； 吸收
pilgrim,朝圣者； 旅行者
addict,沉溺； 上瘾
prostrate,俯卧的；沮丧的。使下跪鞠躬， 使拜服
virtuoso,艺术大师
parley,和谈， 会谈。和谈；会谈
trustworthy,值得信赖的， 可靠的
palliative,减轻的， 缓和的。缓释剂
disinterest,使失去兴趣。无兴趣
convene,集合； 召集
anaerobic,厌氧的。厌氧微生物
insinuate,暗指， 暗示
fluvial,河流的， 生长在河中的
syllable,音节
felicitous,适当的， 得体的
masticate,咀嚼； 把…磨成浆
unavoidable,不可避免的
hunker,蹲下； 顽固地坚持
chuckle,轻声地笑， 咯咯地笑
martial,战争的， 军事的
skit,幽默讽刺短剧； 讽刺文章
hardihood,大胆， 刚毅； 厚颜
stodgy,枯燥无味的
colorful,富有色彩的； 有趣的
stupefy,使茫然， 使惊讶
traipse,漫步， 闲荡
ubiquitous,无处不在的
constitution,宪法； 体质
whittle,削； 削减
conceive,想象， 构想； 怀孕
incandescent,遇热发光的， 发白热光的
adulation,奉承， 谄媚
nonviable,无法生存的， 不能成活的
airborne,空运地， 空降的； 空气传播的
justification,正当的理由； 辩护
implode,内爆； 剧减
physical,实质的， 有形的； 身体的， 肉体的
collude,串通， 共谋
garbled,引起误解的； 窜改的
repeal,废除
wicked,邪恶的； 讨厌的； 有害的； 淘气的
submerged,在水中的， 淹没的
dismember,肢解； 分割
structure,建造。结构
bellicose,好战的， 好斗的
ripen,使成熟
circulation,循环， 流通； 发行量
authentic,真正的， 真实的； 可信的
consonance,一致， 调和； 和音
magniloquent,夸张的
slake,满足； 平息
excursive,离题的
crash,猛撞； 猛冲直闯； 撞碎
patch,补丁； 一小片
consummate,完全的，完善的。完成
blissful,极幸福的
crass,愚钝的； 粗糙的
respiratory,呼吸的
resident,定居的， 常驻的。居民
expurgate,删除， 删节
artless,朴实的， 自然的； 粗俗的
aseptic,净化的； 无菌的
substantial,坚固的， 结实的； 实质的
illicit,违法的
inspissate,浓缩
boost,增加， 提高； 促进； 往上推
sincere,诚实的， 坦率的； 诚挚的
prolific,多产的， 多果实的
tawdry,华而不实的， 俗丽的
wanderlust,漫游癖， 旅游癖
outset,开始， 开头
eliminate,除去， 淘汰
parasitic,寄生的
tractability,温顺
augment,提高， 增加
glance,瞥见。一瞥
benign,良性的； 亲切和蔼的； 慈祥的
acquit,宣告无罪； 脱卸义务和责任； 还清
redirect,改寄； 改变方向
stiff,僵硬的， 呆板的， 严厉的
undifferentiated,无差别的， 一致的
renewal,更新； 复兴， 振兴
piddle,鬼混， 浪费
slant,倾斜。斜面； 观点
appeal,恳求； 有吸引力； 上诉
swamp,使陷入困境； 淹没。沼泽
heavenly,天空的， 天上的
abscond,潜逃， 逃亡
gyrate,旋转的。旋转， 回旋
negate,取消； 否认
swank,夸耀， 炫耀
hidebound,思想偏狭且顽固的
glide,滑行， 滑动； 消消地溜走； 渐变
obliqueness,斜度； 倾斜
salvation,拯救； 救助
trepidation,恐惧， 惶恐
exclamation,惊叹词； 惊呼
aberrant,越轨的； 异常的
eclectic,折衷的； 兼容并蓄的
lateral,侧面的
geomagnetic,地磁的
formidable,令人畏惧的， 可怕的； 难以克服的
abound,大量存在； 充满， 富于
coincidental,巧合的； 同时发生的
nausea,作呕， 恶心
retch,作呕， 恶心
temperate,温和的； 适度的， 有节制的
pestilent,致命的； 有害的
hypothetical,假设的
gospel,教义， 信条
culinary,厨房的； 烹调的
dangle,悬荡， 悬摆 ； 吊胃口
defer,遵从， 听从； 延期
alloy,合金
drowsy,昏昏欲睡的
jaundiced,有偏见的
castigate,惩治， 严责
poisonous,有毒的； 有害的
despicable,可鄙的， 卑劣的
allot,分配； 拨出
gesture,姿势， 手势； 姿态， 表示
propel,推进， 促进
formidably,可怕地， 难对付地， 强大地
urgency,紧急
philately,集邮
rampant,猖獗的， 蔓生的
immature,未充分成长的， 未完全发展的； 不成熟的
prologue,开场白； 序言； 序幕
unaffected,自然的， 不矫揉造作的
ungrateful,不感激的， 不领情的
unctuous,油质的； 油腔滑调的
mythic,神话的； 虚构的
overlook,俯视； 忽视
externalize,使…表面化
cello,大提琴
stocky,矮而结实的， 粗壮的
urbanize,使都市化， 使文雅
ponderable,可估量的
defrost,解冻； 将…除霜
euphoric,欢欣的
euphoria,愉快的心情
oblique,不直接的， 不坦率的； 斜的
bounteous,慷慨的； 丰富的
cozen,欺骗， 哄骗
reliable,可信赖的。可信赖的人
glower,怒目而视
humor,纵容， 迁就
espy,突然看到； 望见
bombast,高调， 夸大之辞
punctilious,一丝不苟的
obstacle,障碍， 妨碍物
azure,蔚蓝的。天蓝色
fickle,易变的， 变化无常的， 不坚定的
sectarianism,宗派主义； 教派意识
collaborative,协作的
deracinate,根除， 灭绝
constitute,组成， 构成； 建立
gorge,峡谷
fertilize,使受精； 使肥沃
inelasticity,无弹性， 无伸缩性
confederacy,联盟， 同盟
alluring,吸引人的， 迷人的
continental,大陆的， 大陆性的
flock,羊群； 鸟群
galvanize,刺激， 激起； 电镀； 通电
deprecate,反对； 轻视
signature,签名， 署名
excise,切除， 删去
astrology,占星术； 占星学
caress,爱抚或抚摸。爱抚，抚摸
specified,特定的
churl,粗鄙之人
punch,以拳猛击； 打孔
estimable,值得尊敬的； 可估计的
refulgent,辉煌的， 灿烂的
cramp,把…箍紧。铁箍，夹子
spruce,整洁的。云杉
bygone,过去的
repent,懊悔， 后悔
swallow,吞下， 咽下； 忍受
perquisite,额外收入， 津贴； 小费
stint,节制， 限量， 节省
sting,刺痛；叮螫。螫刺
buckle,〔因高温或压力〕（使）弯曲；扭曲；（使）变形。〔皮带等的〕金属扣环，扣子；带扣
nurture,养育，教养。养育； 营养物
hasty,急急忙忙的
perambulate,巡视； 漫步
provident,深谋远虑的； 节俭的
infrequently,稀少地， 罕见地
specifics,细小问题， 细节
craft,行业； 手艺
compunction,懊悔； 良心不安
informality,非正式， 不拘礼节
beleaguer,围攻； 骚扰
gaseous,气体的， 气态的
negligent,疏忽的， 粗心大意的
coarse,粗糙的； 低劣的； 粗俗的
evade,躲避， 逃避； 规避
exiguous,太少的， 不足的
suckle,给…哺乳； 吮吸
imply,暗示， 暗指
offset,补偿， 抵消
orchestrate,给…配管弦乐； 精心安排， 组织
capture,俘获；夺取或赢得。战利品
excite,激发； 使动感情， 使激动 ； 使增加能量
peruse,细读， 精读
coward,胆小鬼
sulky,生气的
unreliable,不可靠的
diehard,顽固分子
permissive,许可的， 容许的； 过分纵容的
abolition,废除， 废止
senile,衰老的
opprobrious,辱骂的， 侮辱的
protract,延长， 拖长
commonplace,普通的， 平庸的
asteroid,小行星
libel,诽谤， 中伤。诽谤，中伤
captivate,迷惑， 迷住
knotty,多节的， 多瘤的； 困难的， 棘手的
derogate,贬低， 诽谤
jovial,愉快的
sully,玷污， 污染
petulant,暴躁的， 易怒的
stentorian,声音洪亮的
percolate,过滤出； 渗透
overestimate,评价过高
humid,湿润的
chisel,凿。凿子
controversy,公开辩论， 论战
ultimately,最后， 终于
nifty,极好的， 极妙的
grimace,扮鬼脸。鬼脸，面部扭曲
compulsory,强制性的， 必须做的
discomfited,困惑的， 尴尬的
detach,使分离， 使分开， 拆卸
slash,大量削减
locus,地点， 所在地
tally,一致， 符合
reversion,恢复， 复原； 逆转
annotate,注解
politically,政治上
unjustifiable,不合道理的
torrid,酷热的
famine,饥荒
inept,无能的； 不适当的
straggle,迷路； 落伍； 蔓延
agreeable,令人愉快的； 欣然同意的
oscillate,摆动； 犹豫
coalesce,联合， 合并
progenitor,祖先
mushy,糊状的； 感伤的， 多情的
perforate,打洞
rancid,不新鲜的， 变味的
impetuous,冲动的， 鲁莽的
overload,使超载
charismatic,有魅力的
derelict,荒废的；玩忽职守的；疏忽的。被遗弃的人
contravene,违背
bemuse,使昏头昏脑， 使迷惑
connotation,言外之意， 内涵
brusque,唐突的， 鲁莽的
utility,实用； 有用
eloquent,雄辩的， 流利的
optimistic,乐观的
agog,兴奋的， 有强烈兴趣的
crumb,糕饼屑， 面包屑； 少许， 点滴
empiricism,经验主义
antipathy,反感， 厌恶
enthralling,迷人的， 吸引人的
sweep,席卷， 扫过
descend,下降； 降格， 屈尊
flimsy,轻而薄的； 易损坏的
slay,杀戮， 杀死
superlative,最好的
onset,开始， 发作； 攻击， 袭击
toed,有趾的
weird,古怪的， 怪诞的， 离奇的
assiduous,勤勉的； 专心的
farce,闹剧， 滑稽剧； 可笑的行为， 荒唐的事情
refute,反驳， 驳斥
exemplify,是…的典型， 作为…例子
virile,有男子气的； 刚健的
ancillary,辅助的。助手
niggling,琐碎的
gratuitous,无缘无故的； 免费的
voucher,证件； 收据；  凭证；  代金券
vying,竞争的
repetition,重复； 背诵
outmoded,过时的
gibe,嘲弄，讥笑。嘲笑， 讥笑
smarmy,虚情假意的
lavender,淡紫色的。薰衣草
surrender,投降； 放弃； 归还
antithetical,相反的； 对立的
hypnotic,催眠的。催眠药
obligatory,强制性的， 义不容辞的
caste,社会等级， 等级
forbidding,令人生畏的； 险恶的； 令人反感的， 讨厌的
exquisite,精致的； 近乎完美的
wroth,暴怒的， 非常愤怒的
cardinal,首要的，主要的。红衣主教
evergreen,常绿的
beneficiary,受益人
skyrocket,突升， 猛涨
gluttonous,贪吃的， 暴食的
perverse,刚愎自用的， 固执的
preeminent,出类拔萃的， 杰出的
indignant,愤慨的， 愤愤不平的
thorny,有刺的； 多刺的； 多障碍的， 引起争议的
statuary,雕像； 雕塑艺术
sybaritic,骄奢淫逸的， 贪图享乐的
cynical,愤世嫉俗的
ventilate,使通风
illuminati,先觉者， 先知
culminate,达到顶点； 使达到最高点
ribald,下流的， 粗俗的
stretch,延伸； 伸展
irritate,激怒； 刺激
havoc,大破坏， 混乱
vagrant,流浪的，漂泊的；。流浪者， 漂泊者
medal,奖牌， 勋章
illuminate,阐明， 解释； 照亮
delirium,精神错乱
nonradioactive,非放射性的
protrude,突出， 伸出
flounder,挣扎；艰苦地移动。比目鱼
toil,苦干，辛苦劳作。辛苦， 辛劳
enthrall,迷惑， 迷住
loutish,粗鲁的
residue,剩余
frenzy,狂乱， 狂暴； 暂时性疯狂
vaporous,空想的； 多蒸汽的
dissociation,分离， 脱离关系
stinginess,小气
deliberate,深思熟虑的； 故意的。慎重考虑
swear,诅咒
slew,旋转。大量
physiological,生理的； 生理学的
rife,流行的， 普遍的
careen,倾斜； 使倾斜
recompose,重写； 重新安排
purify,使纯净， 净化
toll,敲。通行费；代价，损失
dispassionate,平心静气的
diminution,减少， 缩减
pagan,没有宗教信仰的人； 异教徒
nag,不断叨扰， 指责， 抱怨
rancor,深仇， 怨恨
zealot,狂热者
ague,冷颤， 发冷
manipulate,操作， 处理
abominate,痛恨； 厌恶
defile,弄污，弄脏。峡谷， 隘路
postiche,伪造的，假的。伪造品；  假发
pithiness,简洁
wiggle,扭动， 摆动
indubitably,无疑地， 确实地
lionize,崇拜， 看重
bowlegged,弯脚的， 弓形腿的
plentitude,充分
extradite,引渡
fecund,肥沃的， 多产的； 创造力旺盛的
relevance,相关性
flawed,有缺点的； 错误的
titanic,巨人的， 力大无比的
circumscribe,划界限； 限制
expulsion,驱逐， 逐出
jamb,侧柱
drivel,胡说。糊涂话
optimism,乐观主义
obloquy,辱骂， 斥责
swell,肿胀， 增强
withstand,反抗； 经受
indubitable,不容置疑的
incriminate,连累， 牵连
optimist,乐观主义者
deficit,不足额； 赤字
jape,开玩笑， 戏弄
coronation,加冕礼
obstinate,固执的， 倔强的
linger,逗留， 继续存留； 徘徊
tome,册， 卷； 大部头的书
unimpassioned,没有激情的
cession,割让， 转让
measly,患麻疹的； 少得可怜的， 微不足道的
rift,裂口， 断裂； 矛盾
